step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
230,23.0,5.204552,12.388709,3.048922,4.630541,12.289903,-2.828879,0.582453,-23.2268
231,23.1,5.144643,12.392017,3.086422,4.571344,12.267914,-2.785926,0.586578,-23.5392
232,23.2,5.084653,12.393078,3.123922,4.516006,12.24503,-2.749471,0.587603,-23.4794
233,23.3,5.024665,12.391888,-3.121763,4.461476,12.220087,-2.712599,0.58881,-23.4434
234,23.4,4.964763,12.38845,-3.084263,4.403306,12.190546,-2.671686,0.595315,-23.639
235,23.5,4.905033,12.382769,-3.046763,4.350743,12.161373,-2.634918,0.596869,-23.597
236,23.6,4.845557,12.374852,-3.009263,4.297898,12.129071,-2.592934,0.600282,-23.8539
237,23.7,4.78642,12.364711,-2.971763,4.252548,12.098771,-2.552572,0.596443,-24.0179
238,23.8,4.727705,12.352361,-2.934263,4.204262,12.063539,-2.511246,0.597838,-24.2371
239,23.9,4.669495,12.337817,-2.896763,4.157386,12.026464,-2.472406,0.59933,-24.3139
240,24.0,4.61187,12.321101,-2.859263,4.112911,11.988489,-2.434864,0.599659,-24.3163
241,24.1,4.554913,12.302237,-2.821763,4.063665,11.942828,-2.39395,0.608687,-24.5119
242,24.2,4.498703,12.281251,-2.784263,4.019969,11.899133,-2.356207,0.612536,-24.5258
243,24.3,4.443319,12.258172,-2.746763,3.981034,11.857067,-2.31757,0.612039,-24.591
244,24.4,4.388839,12.233033,-2.709263,3.940146,11.809261,-2.278353,0.617178,-24.6894
245,24.5,4.335341,12.205869,-2.671763,3.901184,11.760112,-2.241081,0.622247,-24.6763
246,24.6,4.282898,12.176718,-2.634263,3.864135,11.709403,-2.201778,0.627491,-24.7796
247,24.7,4.231585,12.145622,-2.596763,3.827036,11.653766,-2.158903,0.636853,-25.0875
248,24.8,4.181474,12.112623,-2.559263,3.794312,11.600413,-2.120965,0.64207,-25.1126
249,24.9,4.132635,12.07777,-2.521763,3.763546,11.54566,-2.082729,0.647586,-25.1548
250,25.0,4.085138,12.041109,-2.484263,3.735879,11.49155,-2.043464,0.65115,-25.2559
251,25.1,4.039048,12.002694,-2.446763,3.710803,11.437184,-2.002953,0.65387,-25.4285
252,25.2,3.994431,11.962578,-2.409263,3.686836,11.379259,-1.963109,0.659451,-25.5628
253,25.3,3.951349,11.920817,-2.371763,3.665169,11.320686,-1.925098,0.664873,-25.5921
254,25.4,3.909863,11.87747,-2.334263,3.646511,11.263497,-1.886168,0.66807,-25.674
255,25.5,3.870032,11.832599,-2.296763,3.629818,11.204458,-1.846354,0.672506,-25.8066
256,25.6,3.83191,11.786266,-2.259263,3.614923,11.143258,-1.809533,0.678633,-25.7676
257,25.7,3.795553,11.738536,-2.221763,3.60225,11.08134,-1.772676,0.685035,-25.7308
258,25.8,3.761011,11.689476,-2.184263,3.592323,11.021,-1.733853,0.689431,-25.8066
259,25.9,3.728332,11.639156,-2.146763,3.585329,10.964659,-1.694307,0.68949,-25.9239
260,26.0,3.697563,11.587647,-2.109263,3.579978,10.901432,-1.655228,0.696216,-26.0143
261,26.1,3.668746,11.53502,-2.071763,3.577154,10.839769,-1.616553,0.701257,-26.0816
262,26.2,3.641923,11.481349,-2.034263,3.576741,10.7797,-1.577684,0.70467,-26.1601
263,26.3,3.617131,11.426711,-1.996763,3.578744,10.718391,-1.538137,0.709359,-26.2773
264,26.4,3.594405,11.371181,-1.959263,3.583044,10.659159,-1.49832,0.712113,-26.4101
265,26.5,3.573776,11.314839,-1.921763,3.590107,10.596124,-1.459211,0.7189,-26.5023
266,26.6,3.555275,11.257763,-1.884263,3.599447,10.535153,-1.4188,0.723958,-26.6691
267,26.7,3.538926,11.200033,-1.846763,3.610529,10.478215,-1.378562,0.72536,-26.826
268,26.8,3.524753,11.141731,-1.809263,3.62519,10.416196,-1.338656,0.732454,-26.9638
269,26.9,3.512776,11.082938,-1.771763,3.642319,10.354375,-1.300506,0.739991,-27.0011
270,27.0,3.503012,11.023738,-1.734263,3.661351,10.295135,-1.259937,0.74561,-27.1769
271,27.1,3.495474,10.964214,-1.696763,3.683434,10.234755,-1.220174,0.753286,-27.3066
272,27.2,3.490173,10.904448,-1.659263,3.705714,10.18071,-1.179791,0.755152,-27.4718
273,27.3,3.487116,10.844526,-1.621763,3.733576,10.120319,-1.138522,0.764996,-27.6877
274,27.4,3.486308,10.784532,-1.584263,3.762354,10.063488,-1.102068,0.772078,-27.6278
275,27.5,3.48775,10.724549,-1.546763,3.794364,10.005968,-1.062969,0.781263,-27.7194
276,27.6,3.49144,10.664662,-1.509263,3.823224,9.958675,-1.022887,0.780063,-27.8673
277,27.7,3.497372,10.604956,-1.471763,3.855533,9.909879,-0.985943,0.781929,-27.8355
278,27.8,3.505538,10.545515,-1.434263,3.89136,9.860391,-0.944182,0.786291,-28.0796
279,27.9,3.515928,10.486421,-1.396763,3.929621,9.811748,-0.904299,0.791408,-28.2162
280,28.0,3.528525,10.427759,-1.359263,3.974046,9.759944,-0.861935,0.802786,-28.4948
281,28.1,3.543313,10.369609,-1.321763,4.016676,9.713979,-0.823013,0.808655,-28.5763
282,28.2,3.560271,10.312056,-1.284263,4.058568,9.672126,-0.78494,0.811055,-28.6091
283,28.3,3.579375,10.255178,-1.246763,4.105824,9.628557,-0.744823,0.818415,-28.7591
284,28.4,3.600597,10.199057,-1.209263,4.154116,9.587585,-0.703582,0.824792,-28.9734
285,28.5,3.623909,10.143771,-1.171763,4.201894,9.550173,-0.664313,0.828508,-29.0748
286,28.6,3.649277,10.089397,-1.134263,4.254808,9.512089,-0.623842,0.836632,-29.245
287,28.7,3.676665,10.036013,-1.096763,4.310057,9.475597,-0.583723,0.845725,-29.3951
